lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1749_hhds_with_indig_persons,1500_1749_other_hhds,1500_1749_total_hhds,1750_1999_hhds_with_indig_persons,1750_1999_other_hhds,1750_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_3499_hhds_with_indig_persons,3000_3499_other_hhds,3000_3499_total_hhds,3500_more_hhds_with_indig_persons,3500_more_other_hhds,3500_more_total_hhds
32250,3,3,7,9,3,9,7,15,25,4,35,36,8,18,27,9,18,26,16,23,43,25,22,52,20,22,46,21,26,47,15,26,47,21,53,72,15,17,26,8,28,33,18,36,51
32260,11,115,122,22,124,154,48,283,327,70,809,876,56,567,619,122,851,971,114,829,944,113,763,881,141,785,929,72,521,595,74,519,595,122,884,1010,51,534,585,42,385,429,42,616,666
32270,4,44,50,13,84,95,18,127,142,26,355,388,26,214,246,36,372,410,42,370,413,45,498,547,32,474,505,33,447,479,36,415,447,87,1099,1184,65,625,689,43,660,709,125,1619,1741
32310,0,31,39,7,64,71,12,104,114,24,317,343,16,174,184,35,291,331,32,262,296,29,242,270,29,235,271,26,172,200,27,200,227,51,340,389,16,213,226,18,188,207,34,295,326
32330,0,0,0,24,0,24,21,0,21,25,0,25,36,0,36,36,0,41,33,0,33,34,0,34,25,0,25,10,0,10,14,0,14,10,0,10,0,0,0,8,0,8,9,0,9
32450,4,3,7,11,4,10,14,9,27,28,18,46,12,13,26,12,31,43,23,34,57,16,47,63,25,45,67,12,47,66,13,40,53,40,103,144,15,54,66,11,69,78,20,114,136
32500,3,15,12,15,10,31,4,51,54,16,115,138,12,67,83,31,78,108,31,79,114,31,99,124,27,67,99,13,52,73,15,60,72,27,120,149,11,47,61,7,43,55,17,93,109
32600,0,0,0,0,0,5,0,0,0,0,3,8,0,4,7,0,6,6,0,0,4,0,6,9,5,5,4,0,0,0,0,4,4,3,7,10,0,3,6,0,0,3,0,3,3
32750,0,0,0,0,0,0,0,0,0,3,0,6,0,4,4,0,0,0,0,0,3,0,9,10,6,12,9,0,4,5,3,10,11,0,3,6,0,3,3,0,7,7,3,9,11
32770,9,0,9,5,0,5,13,0,13,14,0,14,17,0,17,19,0,19,34,0,31,23,0,27,29,7,37,14,6,13,16,3,15,19,9,28,5,3,10,4,0,8,9,10,16
32810,0,37,36,7,53,59,21,120,137,34,291,321,22,242,262,35,306,341,38,335,375,36,341,376,30,358,388,20,211,239,17,289,303,29,457,482,12,262,277,10,147,159,21,292,319
33100,0,0,0,0,8,7,0,6,6,0,25,28,0,8,13,0,14,14,3,18,21,0,19,19,0,24,24,0,18,18,0,15,15,0,16,16,0,11,11,0,6,6,3,15,16
33200,0,4,4,0,7,9,4,14,17,4,42,47,9,12,14,3,28,33,6,37,46,3,34,34,13,40,53,5,34,42,0,24,28,3,46,47,8,19,29,0,19,20,4,38,39
33220,11,364,372,38,639,675,69,1275,1349,149,4077,4225,148,2665,2814,233,4590,4827,273,3759,4029,253,3750,4006,230,3379,3613,176,2095,2268,145,1886,2029,243,3153,3398,130,1931,2062,90,1319,1407,144,2201,2337
33360,10,143,159,36,284,318,56,530,587,71,1278,1354,87,1006,1094,141,1326,1465,137,1224,1359,120,1384,1504,128,1408,1538,110,1132,1243,105,1098,1201,196,2462,2661,106,1511,1615,89,1416,1505,162,2816,2976
33430,28,1439,1469,50,2272,2324,115,4285,4399,195,11095,11288,231,9711,9943,380,12930,13307,391,13930,14318,536,16393,16926,621,17076,17703,468,12931,13399,435,12938,13369,910,26034,26945,643,16732,17374,461,13628,14087,938,30431,31370
33610,0,27,27,7,49,56,13,71,90,25,252,277,23,153,176,35,261,296,24,228,252,29,245,275,37,248,284,22,213,236,11,202,214,36,356,390,17,228,243,12,171,187,21,269,290
33620,6,158,167,14,276,290,43,574,610,62,1867,1933,68,1236,1300,110,2005,2111,94,1657,1750,99,1646,1745,108,1614,1721,74,1069,1150,72,975,1048,108,1667,1767,72,903,974,27,661,690,58,1016,1075
33800,0,38,40,6,68,78,12,132,151,24,369,399,24,253,274,34,354,389,30,329,359,20,332,354,29,279,304,15,189,203,17,241,255,21,375,397,17,234,254,11,156,167,5,273,279
33830,0,0,0,29,0,29,20,0,20,45,5,46,17,0,15,21,0,21,24,3,28,11,6,16,18,0,18,17,3,19,7,0,9,18,3,18,12,0,11,5,0,4,4,4,12
33960,15,283,296,71,663,728,112,1264,1366,198,3498,3696,254,3152,3404,368,4201,4568,413,4816,5232,430,5658,6088,509,5927,6438,414,4831,5244,387,4606,4991,669,9373,10041,425,6019,6444,282,4655,4933,446,7784,8235
33980,5,34,34,0,41,47,4,60,67,11,156,166,14,113,129,13,175,184,16,212,232,24,229,254,17,283,297,21,272,294,31,288,321,87,776,858,43,389,435,64,569,636,115,1483,1597
34420,0,0,0,9,0,9,14,0,14,17,0,17,10,0,10,14,0,20,18,0,18,16,0,16,33,0,31,13,4,18,3,0,3,11,6,17,6,4,12,0,5,5,7,11,11
34530,11,81,93,6,152,152,15,266,283,29,839,869,26,531,564,55,888,942,45,772,820,58,865,924,54,824,874,53,545,601,54,631,686,102,1287,1388,74,867,938,66,788,856,101,1793,1891
34570,3,0,3,9,3,12,3,0,3,8,0,8,9,0,16,17,0,17,15,0,15,9,3,17,13,0,13,8,0,10,10,0,9,0,5,7,3,0,3,6,3,6,6,5,7
34580,5,89,95,6,156,166,16,286,305,38,889,923,30,529,567,65,1035,1105,63,938,998,84,972,1055,76,1063,1142,78,813,892,56,743,798,98,1529,1629,61,915,972,55,666,722,76,1125,1200
34590,30,542,571,79,977,1060,111,1968,2078,272,4960,5228,297,4710,5012,418,6721,7144,473,7249,7724,533,8318,8853,587,8810,9399,420,6910,7325,415,6468,6886,828,12944,13772,508,8697,9199,327,6208,6542,580,11321,11901
34710,0,10,10,0,5,6,5,26,31,8,92,91,6,57,59,6,78,83,3,75,80,12,81,90,15,88,93,7,72,80,3,57,67,7,133,146,6,110,116,0,59,62,4,136,143
34770,13,245,263,37,479,516,71,800,867,112,2092,2201,137,1500,1635,166,2082,2246,177,2010,2187,216,2356,2571,213,2364,2573,198,1913,2110,194,2095,2290,376,4443,4826,291,2932,3222,231,2784,3015,440,5975,6411
34800,0,0,0,0,0,0,3,3,4,5,13,20,0,3,3,0,10,9,0,10,10,0,19,21,0,17,16,4,17,18,0,13,13,0,29,29,0,10,14,5,16,20,0,30,30
34830,0,0,0,0,0,0,4,0,4,9,0,9,0,0,0,12,0,12,7,0,7,13,3,11,5,0,5,4,0,6,3,0,3,0,4,9,0,0,0,5,3,8,0,0,0
34860,6,28,35,12,59,72,27,88,115,36,227,264,25,135,156,44,210,254,35,244,279,35,266,298,48,281,322,36,214,252,26,235,266,67,452,520,47,280,334,26,253,279,37,410,453
34880,11,79,91,30,123,146,33,213,249,48,585,633,43,349,395,61,542,599,58,511,574,81,558,634,72,497,571,60,361,422,49,360,411,65,647,708,38,436,477,35,300,334,49,561,613
35010,32,875,908,97,1432,1527,173,3089,3260,324,8914,9240,363,7610,7976,533,10503,11031,581,10739,11321,682,12268,12952,750,12372,13117,627,9491,10116,587,9279,9870,1033,18827,19865,671,12626,13302,501,10189,10688,905,20861,21760
35250,3,0,3,30,0,30,14,0,14,16,0,16,8,0,6,9,0,9,18,0,18,12,4,14,11,3,17,8,5,10,0,3,4,4,11,13,0,0,11,5,9,8,7,12,16
35300,12,24,31,65,38,106,48,69,121,63,118,188,77,88,165,74,130,207,77,150,224,89,232,317,89,268,355,75,242,315,66,267,332,139,747,886,97,410,500,102,500,605,185,1118,1305
35600,0,12,14,4,23,24,3,38,38,15,133,148,16,56,74,19,64,83,18,89,107,19,107,125,22,99,120,6,67,82,13,90,101,22,111,129,15,71,87,11,62,71,6,99,107
35670,3,0,3,7,0,3,6,0,6,6,0,0,13,0,13,8,0,8,3,0,3,7,0,9,6,3,9,7,4,3,3,0,3,8,0,6,3,0,3,0,0,0,3,0,5
35740,5,208,213,7,273,275,8,449,462,14,1321,1338,14,1055,1068,21,1455,1479,30,1474,1499,41,1657,1697,31,1799,1833,30,1180,1212,40,1222,1261,47,2123,2165,41,1268,1306,24,1051,1076,69,2720,2793
35760,3,45,50,9,67,78,13,128,144,30,374,402,24,219,244,42,338,379,26,315,344,36,294,328,32,277,308,11,136,145,14,171,183,21,294,309,14,155,168,5,123,128,9,181,189
35780,10,0,10,24,0,24,21,0,20,27,4,34,29,0,31,42,3,46,42,4,46,51,5,57,44,11,52,34,10,41,24,4,31,45,22,68,27,9,39,19,11,33,30,16,47
35790,0,0,0,28,0,28,28,0,27,30,4,37,30,3,32,50,0,50,45,0,45,42,0,42,33,0,33,28,0,35,18,8,23,35,5,39,17,5,20,7,0,11,13,6,19
35800,3,5,5,6,4,12,33,23,50,31,61,94,20,23,39,25,31,54,18,45,58,20,30,47,25,28,57,9,25,41,9,19,24,12,43,59,7,18,24,4,8,14,10,25,31
36070,0,0,0,3,0,3,3,0,3,13,0,13,6,0,6,11,0,11,18,0,15,14,0,17,10,0,11,6,6,8,4,5,7,6,6,11,5,5,5,0,4,4,7,5,9
36150,0,3,3,0,6,9,0,5,8,0,10,13,0,15,13,7,15,18,0,10,10,7,24,30,0,14,14,0,7,7,0,11,11,8,25,31,0,7,8,5,16,21,0,18,18
36250,11,327,336,28,626,649,58,1150,1203,87,3420,3507,93,2374,2466,135,3622,3749,150,3359,3509,159,3815,3972,180,3772,3950,129,2871,2999,137,2962,3099,293,6292,6590,181,4611,4792,158,3867,4026,291,8846,9137
36300,0,0,0,0,0,0,0,6,6,0,10,10,0,10,13,0,9,11,5,11,10,0,14,17,4,10,13,0,19,18,6,17,21,4,23,29,0,17,17,0,14,13,3,17,22
36370,22,147,173,55,346,402,72,687,763,167,1881,2043,146,1283,1429,208,1830,2037,204,1827,2030,219,1927,2139,229,1919,2147,166,1487,1654,163,1417,1585,332,2935,3264,231,1745,1982,137,1514,1658,228,2884,3117
36510,3,117,123,6,205,206,12,291,300,25,983,1007,20,739,762,54,1169,1224,59,1064,1120,59,1202,1260,60,1149,1214,42,792,835,37,798,834,75,1538,1613,77,950,1028,36,725,760,69,1469,1542
36580,3,65,66,5,93,99,14,199,207,19,644,667,31,416,448,33,737,773,49,682,733,61,698,757,48,649,695,38,475,513,34,468,505,57,849,909,34,515,551,26,407,434,33,631,664
36630,4,96,102,13,195,208,13,386,398,63,1314,1377,48,722,772,77,1208,1285,97,1088,1184,81,934,1016,87,887,972,66,612,673,51,520,569,79,967,1044,39,531,569,24,386,411,57,627,687
36660,4,136,132,15,207,220,22,388,411,52,1233,1290,46,820,872,81,1359,1438,80,1174,1258,78,1155,1229,84,1056,1138,64,745,814,51,675,725,77,1152,1232,42,600,638,31,411,446,44,696,738
36720,20,800,825,49,1317,1365,64,2416,2487,133,7187,7318,144,5782,5922,237,8237,8481,245,8311,8557,291,9272,9559,346,9627,9974,254,6914,7167,270,7062,7334,521,13933,14450,368,9066,9432,262,7125,7384,505,15478,15985
36820,3,113,119,19,142,161,32,304,339,43,792,832,51,584,642,69,816,882,89,696,780,63,705,766,57,694,753,45,460,508,44,436,478,88,806,894,36,453,492,20,373,397,56,619,681
36910,27,396,420,57,664,716,93,1323,1413,184,4078,4259,179,3069,3244,271,4428,4698,306,4351,4652,309,4769,5080,362,4790,5151,242,3684,3928,239,3512,3750,452,6729,7188,295,4193,4491,185,3147,3330,296,6104,6403
36950,8,0,8,10,3,8,11,3,15,20,11,31,13,9,24,30,0,29,30,16,44,42,9,50,44,16,56,36,23,60,31,15,46,66,56,127,38,21,60,48,30,70,82,59,135
36960,8,0,8,51,4,57,64,4,62,80,0,83,56,3,57,86,4,93,102,4,103,91,0,97,93,0,90,59,0,63,38,6,47,60,11,73,33,0,32,22,4,22,22,7,31
37010,41,355,393,118,712,826,176,1274,1448,244,3082,3323,286,2602,2891,390,3478,3874,424,3805,4229,469,4540,5011,516,4768,5285,410,3892,4301,395,3805,4197,714,7494,8209,516,5073,5585,322,4114,4440,594,7962,8558
37300,0,0,0,0,0,0,0,0,3,0,13,9,0,6,6,7,16,22,0,12,10,16,27,41,0,26,27,12,44,51,18,41,58,26,157,187,32,91,118,25,114,140,78,307,387
37310,3,70,73,16,144,162,31,259,295,72,769,836,70,585,652,76,761,837,98,773,869,82,863,952,101,814,915,69,594,667,65,599,668,130,1149,1280,60,665,720,45,478,526,68,970,1031
37340,12,79,84,20,158,181,23,269,292,44,675,721,53,595,649,61,827,890,58,825,880,75,803,873,81,797,884,61,603,669,58,621,676,126,1257,1381,53,796,847,47,626,671,94,1162,1256
37400,0,5,5,0,8,10,0,15,15,8,33,41,0,9,16,3,19,21,0,33,30,5,23,24,0,33,33,6,24,26,6,10,17,0,33,34,3,33,31,3,15,20,0,24,25
37550,5,0,5,29,0,29,25,0,25,22,0,23,25,0,28,23,0,25,27,0,27,24,0,17,14,0,14,8,0,7,10,0,8,6,4,10,3,0,3,3,0,0,3,5,10
37570,0,0,0,4,0,4,5,0,5,13,0,13,0,0,0,14,0,14,10,0,10,9,0,9,3,0,0,3,0,3,4,4,5,0,0,4,0,0,0,0,0,0,0,0,3
37600,0,0,0,31,0,28,18,0,18,25,0,27,16,0,16,49,0,49,35,0,35,36,0,36,61,0,61,40,0,39,25,0,25,36,0,40,28,0,28,12,0,11,11,3,13
