lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1749_hhds_with_indig_persons,1500_1749_other_hhds,1500_1749_total_hhds,1750_1999_hhds_with_indig_persons,1750_1999_other_hhds,1750_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_3499_hhds_with_indig_persons,3000_3499_other_hhds,3000_3499_total_hhds,3500_more_hhds_with_indig_persons,3500_more_other_hhds,3500_more_total_hhds
55320,8,323,328,14,470,477,11,718,735,30,1921,1951,20,1434,1456,28,1774,1804,11,1841,1852,28,2167,2200,21,2184,2204,25,1721,1741,16,1716,1735,34,3687,3724,41,2404,2447,27,2651,2681,106,9636,9739
55390,0,0,0,0,0,0,4,0,4,6,3,9,0,4,3,3,0,6,0,4,4,5,0,5,4,8,11,0,0,5,0,0,3,0,6,6,0,0,0,0,0,4,0,6,6
55460,0,5,5,6,17,21,7,30,31,4,86,90,5,48,57,7,78,87,8,71,77,11,81,90,3,93,95,3,62,60,3,66,67,0,123,125,3,57,67,3,48,57,5,99,104
55530,0,0,0,0,0,0,0,4,4,0,11,13,0,4,4,0,6,6,3,7,10,0,16,14,0,7,7,0,8,8,0,8,11,5,20,18,0,4,4,0,6,6,0,13,13
55600,0,0,0,5,7,17,0,15,13,9,53,63,3,30,35,7,55,66,9,41,54,13,46,60,4,49,55,7,42,48,5,39,46,3,83,84,3,50,60,5,45,55,0,64,71
55670,0,0,0,0,7,6,0,9,9,3,10,17,0,9,9,0,8,12,0,13,18,0,13,11,4,18,16,0,20,19,3,14,10,0,28,28,0,8,8,5,3,8,0,15,14
55740,0,33,33,0,68,67,0,101,101,9,195,201,5,148,148,0,127,130,0,167,169,7,184,188,0,171,178,3,145,146,0,124,127,0,256,257,0,140,143,4,190,193,11,1097,1106
55810,0,0,0,0,0,0,0,3,3,0,6,6,0,6,9,5,13,14,0,10,7,0,10,12,5,11,11,0,3,3,0,4,4,3,11,11,0,7,7,0,5,5,0,4,8
55880,0,3,3,0,0,0,0,5,5,0,6,6,0,0,4,0,6,6,5,5,9,0,13,13,0,15,19,0,6,6,0,11,11,4,14,14,0,10,11,0,11,11,0,14,18
55950,0,0,0,0,5,5,0,5,5,0,16,17,0,7,7,0,9,10,0,16,16,0,13,15,0,9,6,0,13,13,0,16,16,4,20,26,0,12,12,0,8,8,0,24,26
56090,6,66,67,8,175,179,4,240,247,14,702,713,6,466,473,20,710,733,14,671,682,29,806,834,16,825,841,16,578,598,16,677,689,34,1347,1376,34,966,1004,22,958,977,76,2319,2392
56160,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,10,0,0,0,0,0,0,0,0,0
56230,0,49,52,6,88,92,3,172,178,16,453,472,9,341,350,20,550,570,16,412,431,12,435,449,16,372,394,8,286,290,7,280,287,16,588,601,14,397,411,24,338,364,41,681,719
56300,0,5,7,0,20,20,0,19,19,0,42,44,0,30,30,6,59,66,0,50,54,4,45,48,0,53,54,0,28,27,0,26,34,0,44,44,0,25,29,0,13,13,5,35,35
56370,0,4,4,0,0,0,0,6,8,0,8,8,0,5,8,0,19,19,0,15,15,0,19,23,0,28,28,5,13,16,4,13,15,0,37,36,0,15,15,0,11,11,0,22,22
56460,0,17,13,10,26,32,4,57,61,7,135,147,8,88,93,9,108,117,13,117,132,16,145,167,0,138,136,9,87,96,3,79,84,11,184,192,7,91,95,9,86,90,4,151,153
56580,0,54,54,0,60,60,0,105,106,0,243,243,0,201,201,0,213,213,6,263,265,0,290,290,0,307,315,3,250,256,0,274,274,3,583,591,0,342,337,0,374,383,19,3278,3293
56620,0,0,0,10,0,10,9,0,9,23,0,23,19,0,20,23,0,22,21,3,27,31,0,34,18,4,29,22,11,37,9,4,19,11,19,30,5,4,8,4,9,13,10,7,11
56730,4,25,27,6,61,67,6,109,119,15,326,337,18,201,221,20,301,317,21,255,278,24,286,307,21,272,292,14,216,234,14,174,184,19,387,405,13,227,240,20,177,191,22,319,341
56790,0,4,4,5,14,17,4,35,38,8,113,122,0,55,61,3,111,119,4,100,103,11,75,87,7,82,83,9,56,62,0,43,47,3,98,96,3,61,68,0,44,43,6,71,75
56860,0,0,0,0,0,0,0,4,4,0,3,5,0,5,5,0,9,9,0,13,13,0,8,8,0,6,6,0,3,3,0,0,0,0,3,3,0,5,5,0,4,4,0,3,3
56930,0,0,0,0,3,3,0,3,3,0,9,9,0,18,18,0,9,9,0,7,7,0,13,13,0,20,20,0,16,16,0,14,14,5,38,39,0,15,15,0,25,25,0,267,267
57000,0,0,0,0,3,3,0,0,0,0,10,12,0,3,3,0,3,3,0,3,6,0,13,10,0,9,13,4,5,8,0,13,13,0,16,17,0,6,6,0,8,4,0,20,14
57080,0,91,91,4,191,194,6,288,290,4,410,411,8,420,427,9,399,407,11,544,552,7,798,800,12,818,831,8,785,798,13,790,801,21,1718,1740,6,645,655,11,821,836,24,2319,2338
57140,0,5,5,0,3,3,3,14,18,6,39,52,7,25,29,8,41,47,4,31,35,4,30,31,3,34,33,0,21,17,0,12,18,3,27,33,0,10,15,0,19,24,0,21,21
57210,0,12,12,0,31,31,5,50,56,4,190,192,7,118,122,3,173,177,11,151,158,0,146,147,6,137,141,8,91,92,0,86,91,10,165,177,5,115,118,4,68,70,4,154,155
57280,4,7,15,22,15,41,39,26,66,39,24,66,28,33,60,52,38,86,38,54,88,46,99,143,45,124,171,36,181,215,45,197,249,115,542,654,59,279,337,86,443,528,202,1336,1544
57350,0,0,0,0,9,10,4,8,11,0,18,26,0,15,15,6,26,28,5,21,28,0,25,26,0,22,20,0,16,16,4,11,9,0,23,25,0,9,9,0,8,8,0,28,28
57420,0,9,9,0,11,13,0,22,22,3,56,59,0,31,31,3,41,49,0,42,47,4,41,43,0,41,46,4,37,39,3,46,49,0,101,104,3,43,46,0,46,50,10,75,85
57490,3,239,247,23,487,504,33,959,994,52,2441,2496,81,2066,2145,89,2707,2797,93,2700,2793,100,3004,3103,105,3014,3119,102,2688,2786,65,2549,2620,207,5332,5538,119,3443,3563,100,3114,3221,221,5955,6177
57630,0,0,0,0,0,0,0,5,5,0,4,4,0,0,0,0,3,3,0,3,3,0,4,4,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,3,3,0,4,4
57700,0,45,45,0,81,81,6,109,112,0,265,268,9,241,250,16,420,436,14,410,423,27,544,570,28,631,655,22,576,592,22,640,663,51,1350,1397,39,944,980,36,763,799,51,1511,1568
57770,0,0,0,0,0,8,0,12,12,3,32,38,3,5,12,0,27,27,7,19,27,0,22,23,3,17,25,0,11,10,3,25,25,3,30,35,5,17,22,0,14,14,0,16,17
57840,4,136,139,7,238,247,12,373,382,13,809,821,18,741,767,15,716,725,8,811,823,12,1019,1030,14,1074,1093,11,921,938,9,857,868,24,1806,1830,11,974,990,11,1085,1095,55,4277,4332
57910,18,571,585,36,1290,1330,57,2091,2151,80,5174,5256,58,3719,3773,77,4436,4511,96,4797,4887,94,5853,5950,100,6048,6149,65,4974,5044,41,4621,4664,117,9615,9733,77,5439,5519,72,5544,5617,207,16779,16988
57980,0,52,52,0,100,94,0,204,208,0,370,372,0,319,321,3,288,291,0,313,317,5,396,403,9,401,409,0,359,365,4,366,375,15,763,777,4,364,365,3,416,418,17,2189,2205
58050,14,273,284,30,483,515,65,863,931,76,2110,2191,79,1647,1727,107,2469,2574,108,2637,2745,160,3485,3644,129,3755,3888,132,3090,3223,113,3035,3152,256,6579,6838,154,4383,4539,121,3377,3499,282,6537,6820
58190,0,4,4,0,4,4,0,0,4,0,14,19,0,13,7,0,10,10,0,8,7,0,7,10,0,10,11,0,5,5,0,7,7,3,7,12,0,7,13,0,3,3,0,5,5
58260,0,0,0,0,0,0,0,8,8,0,13,13,0,9,13,0,9,9,5,10,14,0,16,16,6,10,16,0,12,10,0,3,6,3,23,27,0,8,8,0,5,9,0,26,24
58330,0,13,13,0,24,24,0,36,42,0,148,155,0,75,79,0,136,135,0,137,141,4,127,134,3,118,122,0,77,80,0,84,86,5,160,164,3,88,95,8,84,88,5,138,142
58400,0,5,5,0,0,0,0,10,10,5,16,22,0,4,4,0,9,9,0,18,18,0,15,15,0,4,4,0,7,7,0,5,5,0,7,8,0,3,3,0,0,0,0,5,5
58470,0,0,0,3,0,3,0,0,0,6,0,3,0,0,0,0,0,4,3,0,3,3,0,5,4,0,6,4,0,5,0,0,0,0,3,6,0,0,0,0,5,5,0,0,4
58510,0,94,91,15,204,212,16,400,413,14,790,805,19,719,738,13,673,688,30,768,795,20,912,925,22,976,998,26,849,874,18,748,768,35,1758,1793,23,976,994,17,999,1020,49,2788,2835
58540,0,0,0,0,3,3,0,10,10,0,9,14,0,4,4,0,19,22,0,16,16,0,20,20,0,19,19,0,21,19,5,10,14,0,23,26,0,20,20,0,15,18,0,44,44
58570,7,73,77,0,159,161,13,327,342,6,599,610,8,496,499,7,580,584,5,614,623,15,843,854,9,878,885,14,791,802,4,785,797,22,1739,1770,17,975,986,10,1094,1111,49,4039,4090
58610,0,8,7,0,14,16,0,16,13,0,67,68,0,40,41,0,60,59,0,45,45,5,54,56,4,36,35,3,35,36,0,38,38,3,57,66,0,40,43,0,22,22,0,51,51
58680,0,0,0,0,3,3,0,3,4,0,5,5,0,3,3,0,11,11,0,16,16,0,9,9,0,8,8,0,8,8,0,9,10,0,20,23,0,7,7,0,11,8,0,24,24
58760,9,306,318,29,628,662,32,1169,1199,78,2899,2973,77,2383,2458,99,3458,3558,109,3705,3809,99,4352,4445,117,4803,4923,100,4053,4154,92,3995,4092,200,8557,8751,128,6075,6208,104,5019,5125,214,9851,10070
58820,0,20,20,0,29,29,0,45,52,3,113,119,3,69,71,0,125,123,3,101,109,7,97,104,0,87,91,4,65,70,3,70,72,3,141,147,8,81,90,4,70,80,14,148,159
58890,0,0,0,0,8,8,0,0,0,4,19,19,0,13,8,0,21,22,0,15,15,0,33,34,0,19,19,0,15,15,0,13,16,3,24,28,0,6,6,0,19,19,0,26,26
59030,0,0,0,0,4,4,0,0,0,0,11,9,0,0,5,0,9,9,0,6,6,0,9,9,0,9,9,0,4,4,0,3,3,0,3,6,0,8,8,0,0,0,0,10,10
59100,0,4,4,0,0,0,0,3,3,0,25,25,0,5,5,0,14,14,3,20,24,0,20,20,0,19,19,0,17,17,0,12,12,3,15,17,0,15,19,0,6,6,0,14,14
59170,0,0,0,0,0,0,0,4,4,0,25,25,0,11,11,0,27,29,0,22,22,0,19,18,0,30,35,4,25,25,0,23,23,0,38,39,0,27,27,0,21,18,0,53,53
59250,0,0,0,4,0,7,5,0,5,9,4,8,0,0,5,8,0,6,0,3,9,9,3,6,3,6,9,4,0,3,0,3,3,0,4,6,0,3,3,0,3,3,0,3,3
59310,0,3,3,0,8,15,0,11,11,6,45,46,3,27,29,4,36,44,0,41,42,0,46,49,7,31,36,7,20,27,0,25,25,6,53,56,0,27,28,0,25,30,0,39,40
59320,0,0,0,0,0,0,0,3,3,0,17,18,0,3,3,0,9,9,0,11,10,3,12,17,0,12,12,0,15,15,0,9,9,0,15,15,0,7,7,0,9,9,0,14,14
59330,0,5,5,0,6,5,0,8,7,0,28,22,0,17,19,0,21,26,0,10,11,0,16,16,0,16,16,0,9,6,0,8,8,0,15,22,0,8,8,0,3,3,0,16,16
59340,9,6,16,27,4,37,39,19,56,50,29,76,31,29,63,44,31,77,61,37,98,65,68,132,67,78,140,26,97,124,27,91,120,59,185,244,35,127,160,20,132,155,52,226,278
59350,0,0,0,0,0,0,4,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,7,4,3,3,0,3,3,0,0,0,0,0,0,3,3,0
59360,0,3,3,0,12,12,0,5,11,0,29,30,4,16,19,0,19,18,0,21,23,0,32,31,0,26,28,0,11,11,0,14,14,3,40,42,0,29,29,0,20,20,0,31,31
59370,0,11,13,0,23,25,0,43,49,4,148,154,5,83,88,0,121,119,0,105,108,7,100,102,3,89,87,0,68,68,8,71,75,9,125,134,6,78,80,5,46,51,3,98,98
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60210,0,37,37,0,70,77,7,130,136,16,406,419,10,215,225,22,338,360,15,281,289,18,243,254,13,219,235,6,107,115,12,100,106,14,168,184,4,76,83,6,59,62,4,81,87
60410,5,15,20,20,85,104,28,160,191,60,455,520,67,274,345,82,490,569,80,423,508,92,526,618,98,483,585,64,358,419,60,342,401,88,673,759,58,423,483,26,265,295,45,446,491
60610,3,42,45,17,111,134,30,252,281,42,657,706,54,465,523,65,629,697,71,565,639,62,603,665,73,594,659,62,418,475,46,366,417,100,720,823,38,392,433,35,279,316,48,501,545
60810,11,58,67,11,134,151,25,234,261,63,832,902,62,494,552,83,804,892,68,622,694,68,666,740,64,620,684,61,440,501,47,448,493,107,734,845,67,471,539,57,334,393,57,592,652
61010,0,13,13,0,14,14,3,39,41,8,141,144,3,54,62,13,85,97,8,60,67,4,72,75,11,74,79,0,64,67,5,43,51,7,70,77,4,35,37,0,27,28,4,49,49
61210,0,28,33,10,28,43,19,67,86,44,214,261,24,149,173,51,209,262,39,199,238,43,205,248,57,189,243,45,139,178,38,150,187,93,233,328,53,152,198,22,92,114,34,139,171
61410,9,108,107,16,221,235,41,463,503,61,1433,1493,62,1060,1131,78,1410,1490,88,1495,1579,88,1760,1848,108,1712,1826,88,1399,1482,59,1296,1354,150,2495,2650,90,1652,1745,55,1423,1474,122,2847,2970
61510,0,13,18,11,56,66,13,133,150,17,360,376,14,190,202,27,326,349,33,302,334,29,318,350,36,306,340,16,221,239,28,213,236,42,382,426,21,215,235,14,144,161,16,205,226
61610,3,67,71,16,158,173,33,327,361,62,960,1027,55,623,680,88,929,1016,121,808,926,82,788,870,68,779,848,67,584,643,54,523,580,102,889,993,59,541,598,28,374,406,55,573,627
61810,0,18,18,0,49,48,3,99,104,13,304,315,11,173,176,25,258,286,15,226,237,13,214,230,7,233,245,12,144,160,6,124,130,11,190,204,6,125,126,7,73,76,0,137,139
62010,0,7,7,0,11,14,6,8,11,4,32,41,5,26,25,15,36,49,3,21,23,9,22,30,7,26,34,3,16,18,5,11,13,6,30,40,0,20,21,3,16,22,6,19,23
62210,0,27,26,4,60,60,11,124,140,11,308,315,20,201,217,11,259,274,19,247,265,16,229,248,18,175,193,14,147,165,12,136,146,13,230,247,10,118,121,7,87,94,9,117,128
62410,3,29,28,0,36,41,5,56,55,11,194,205,8,147,153,13,221,236,10,187,199,11,176,189,7,145,158,9,96,101,13,99,109,10,149,163,0,91,91,10,51,57,0,82,85
62610,4,88,97,28,287,311,53,541,597,83,1671,1756,97,1064,1161,90,1313,1401,121,1405,1525,123,1562,1685,133,1532,1669,76,1163,1245,83,1000,1087,146,1967,2113,105,1261,1366,52,886,933,82,1267,1355
62810,3,142,146,5,256,260,18,417,431,24,1019,1038,27,929,960,16,1026,1045,24,1158,1182,25,1406,1430,27,1535,1564,29,1213,1241,34,1192,1223,65,2351,2414,46,1365,1411,35,1338,1374,88,4024,4114
63010,3,51,55,10,92,105,26,190,219,58,564,620,32,342,367,68,534,599,57,521,579,75,549,621,74,482,555,56,354,414,46,333,379,97,580,678,66,341,409,42,232,277,53,394,450
63210,5,14,20,3,32,37,5,72,81,15,200,212,9,98,105,13,209,225,18,207,219,15,198,209,23,194,212,13,137,153,12,114,131,15,197,211,9,125,140,13,82,90,12,134,148
63410,0,4,4,0,7,7,0,18,22,0,48,50,0,28,23,0,55,55,3,50,49,7,53,60,0,49,48,4,45,45,5,32,30,0,71,72,0,36,42,0,26,26,0,52,50
63610,0,69,74,8,137,148,22,237,258,39,808,840,32,663,689,42,894,935,50,873,921,48,1129,1174,76,1096,1168,54,883,939,47,847,894,104,1558,1663,69,1161,1232,58,871,929,103,1907,2014
63810,6,28,33,4,56,61,9,100,110,23,383,412,21,258,274,27,458,484,25,373,396,35,375,416,43,369,413,35,240,278,23,239,267,50,448,491,16,259,274,15,186,196,33,320,352
64010,5,179,183,42,392,441,57,781,838,106,2028,2130,95,1556,1648,127,2018,2150,135,2079,2211,149,2288,2438,137,2185,2328,109,1521,1628,80,1405,1479,153,2693,2850,82,1543,1627,56,1191,1250,88,2273,2358
64210,0,58,58,4,102,109,16,202,219,28,730,758,11,469,480,31,708,742,30,619,644,36,605,636,30,619,646,19,429,453,30,421,454,42,780,827,37,520,560,21,382,395,21,594,620
64610,0,36,40,0,68,71,9,153,163,8,437,454,16,300,320,20,484,504,21,453,476,22,435,450,21,410,433,17,306,323,12,304,317,29,541,571,12,319,332,13,218,229,6,347,356
64810,0,29,29,3,55,55,4,161,163,19,495,515,11,305,318,31,461,493,21,452,474,33,495,532,46,543,588,30,397,424,23,349,371,58,684,745,32,452,487,26,283,310,28,417,447
65010,0,13,13,0,26,26,7,54,57,11,225,242,5,92,98,12,185,202,15,188,199,14,181,193,20,174,197,20,119,139,14,120,137,24,216,234,23,178,196,19,103,116,17,158,173
65210,0,12,15,0,26,25,5,63,61,5,129,134,5,86,94,9,123,136,11,90,98,10,85,95,7,77,80,6,58,59,7,43,53,3,57,59,0,39,39,6,15,18,5,34,40
65410,0,30,31,11,99,109,12,201,211,48,586,631,43,335,375,61,497,559,48,394,445,53,404,454,44,396,442,45,248,296,36,270,307,62,458,516,35,307,338,29,202,235,41,311,354
65610,3,10,13,4,44,46,5,102,104,17,229,246,10,116,124,20,140,163,20,120,136,11,125,132,16,101,120,7,84,92,13,70,82,19,133,153,14,62,75,18,55,64,11,86,98
65810,0,54,53,0,98,103,9,234,244,12,743,752,17,465,480,16,772,791,32,736,767,27,720,748,27,769,805,17,561,576,12,517,530,43,999,1048,27,632,664,29,477,502,35,884,915
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70200,19,23,45,60,43,106,74,66,145,104,188,287,77,156,234,98,186,284,129,251,376,151,375,527,124,463,595,116,417,535,57,393,454,162,968,1127,111,626,736,73,664,732,227,1504,1725
70420,11,3,11,42,7,47,32,8,43,57,23,77,34,13,50,61,30,88,89,23,109,78,42,128,80,49,129,53,49,105,43,54,96,52,118,173,37,51,88,20,54,75,42,89,134
70540,0,0,0,4,0,4,3,0,3,6,0,6,3,0,3,6,0,6,4,0,4,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70620,8,0,8,40,0,39,10,4,18,58,5,62,32,3,34,59,5,64,61,5,67,41,15,54,45,21,65,40,22,61,16,23,41,29,45,72,7,17,26,3,7,6,4,25,23
70700,0,0,3,6,3,14,9,13,18,8,37,53,0,9,14,9,29,43,6,24,36,7,16,25,9,27,32,5,10,17,3,23,24,11,26,40,6,11,16,0,13,14,6,13,16
71000,17,82,103,63,192,252,129,402,531,146,731,878,126,564,697,158,782,940,180,979,1159,150,1335,1485,191,1562,1749,151,1448,1594,125,1523,1646,297,3544,3840,216,2060,2277,177,1985,2161,484,5501,5983
71150,0,0,0,0,0,0,0,0,0,0,6,6,0,5,5,0,4,4,0,0,0,0,12,12,0,9,9,0,13,13,0,12,14,0,39,41,0,10,10,0,9,9,0,29,31
71300,33,3,34,50,0,52,32,3,37,72,0,75,47,6,50,89,5,96,97,6,97,108,15,122,101,26,123,82,24,105,96,17,116,97,58,153,51,17,72,30,36,61,45,22,70
72200,3,9,8,19,7,32,31,27,54,61,54,118,32,40,72,39,61,101,60,64,125,56,104,160,59,123,179,27,114,148,41,102,137,64,302,363,58,187,250,36,218,251,81,390,471
72300,0,33,28,11,43,56,8,67,79,14,161,177,7,124,138,18,175,201,30,233,263,34,288,322,37,305,345,40,250,296,20,266,285,64,553,625,60,420,477,59,430,496,186,1345,1532
72330,10,0,9,44,4,44,28,6,34,77,0,85,57,3,58,83,8,87,93,3,97,74,21,99,72,30,101,52,25,77,36,22,61,43,55,92,28,11,42,9,16,30,9,22,34
72800,9,23,32,34,58,89,87,162,256,109,249,361,63,210,269,75,270,348,83,341,426,135,565,701,119,613,731,95,621,715,98,631,728,237,1495,1729,172,1016,1189,142,890,1028,323,1900,2225
73600,6,5,15,45,6,50,21,12,27,58,17,75,40,16,53,84,12,97,74,14,92,90,14,110,91,30,125,66,21,84,57,25,81,61,60,123,46,29,76,16,26,38,19,42,60
74050,59,0,59,60,6,61,18,0,18,70,0,70,31,0,31,49,0,49,44,4,50,40,4,46,40,10,40,17,8,21,10,5,19,14,19,34,4,10,15,3,9,12,8,11,19
74550,4,4,9,18,3,18,19,7,23,29,20,49,17,7,21,32,14,47,43,12,59,30,15,44,32,13,43,20,9,33,13,12,22,29,34,58,16,13,36,9,12,20,10,25,40
74560,0,4,4,0,3,5,3,4,7,0,11,13,0,10,7,0,12,17,0,5,7,0,12,14,0,11,9,0,7,7,0,9,10,0,13,12,0,9,3,0,6,6,3,17,20
74660,9,0,9,23,0,28,8,0,12,29,4,34,28,0,33,69,9,75,66,15,83,97,20,121,87,29,113,61,31,89,57,32,94,79,70,149,29,30,59,10,29,40,28,66,92
74680,30,0,30,50,4,50,20,0,20,47,0,45,24,0,24,29,0,27,27,0,27,31,0,31,11,7,17,14,3,19,15,4,19,16,17,28,7,7,14,7,13,20,6,10,18
79399,0,14,14,3,9,11,5,19,25,3,65,68,10,30,38,31,62,93,28,89,108,30,134,162,17,110,127,19,88,107,8,104,117,31,213,243,22,128,148,27,157,180,44,361,401
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89399,28,589,612,76,1123,1198,80,2111,2195,172,4848,5022,129,3692,3818,164,5028,5190,157,5894,6055,221,7928,8147,280,9758,10036,257,9625,9881,250,9367,9613,536,21720,22261,410,12686,13098,405,13579,13983,1130,46153,47281
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99399,0,9,10,0,17,12,4,28,34,4,79,81,0,57,57,0,74,73,8,83,92,7,79,83,3,79,81,0,60,60,5,64,65,3,81,86,0,52,52,4,35,33,0,53,54
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
