lgacode16,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
50080,3,94,97,17,257,268,26,447,472,21,1103,1121,31,693,719,28,1157,1191,33,903,940,45,1197,1247,28,951,981,54,1558,1613,38,1211,1247,24,724,751,29,1171,1199
50210,7,174,175,27,484,518,24,568,592,34,1410,1444,55,1087,1140,69,1670,1735,62,1664,1729,66,2289,2359,71,2109,2181,92,3408,3499,70,3195,3261,38,1943,1977,86,3367,3452
50250,3,0,9,12,5,18,9,9,15,21,20,41,7,5,15,9,10,18,5,29,41,9,49,61,10,50,60,26,147,179,48,374,423,20,133,156,51,611,658
50280,0,27,27,0,95,101,3,141,146,4,318,322,6,273,279,0,365,368,12,381,387,12,424,435,7,384,392,9,602,615,11,495,503,6,279,283,5,460,465
50350,0,42,44,10,117,128,3,192,197,12,396,409,16,231,240,19,333,349,7,338,347,11,396,406,10,378,394,19,684,703,20,630,650,5,440,445,18,828,843
50420,3,173,176,22,499,517,26,699,719,20,1500,1526,15,969,989,21,1611,1631,35,1527,1565,29,1890,1921,27,1712,1738,40,2814,2851,28,2681,2709,25,1683,1705,53,3971,4022
50490,9,125,134,24,329,355,26,469,496,25,949,975,20,507,526,30,891,921,25,887,913,25,1200,1220,23,989,1012,46,1721,1771,26,1589,1616,19,906,931,38,1920,1963
50560,0,12,12,0,6,6,0,31,31,0,74,75,3,27,37,0,68,73,3,47,49,0,57,58,4,52,55,0,54,57,0,34,40,0,27,29,0,41,41
50630,0,8,3,0,12,12,3,24,25,3,40,39,0,15,18,3,34,34,3,34,36,0,28,28,3,28,30,3,67,77,4,83,88,0,45,48,3,117,120
50770,0,8,6,0,29,27,0,19,19,0,57,57,0,31,31,0,60,60,0,46,46,0,61,58,3,43,48,0,52,58,0,55,56,0,37,37,0,53,48
50840,0,27,29,0,54,54,3,67,69,4,184,187,0,109,108,5,202,211,3,119,124,8,154,163,3,120,129,3,179,180,4,144,148,0,100,104,3,122,122
50910,0,5,5,0,8,9,4,11,9,0,23,24,3,13,18,3,36,41,3,30,30,5,29,30,0,25,25,4,25,30,0,32,31,0,21,21,0,39,36
50980,14,19,30,72,53,121,72,84,157,95,95,195,80,95,176,98,137,237,121,153,280,98,213,306,81,217,297,116,460,583,90,530,620,75,334,410,106,807,916
51080,0,0,0,4,3,6,3,9,9,0,16,22,3,12,17,4,32,32,3,31,33,3,32,34,4,26,29,3,38,41,4,28,25,0,13,13,0,43,41
51120,0,3,3,0,15,17,0,8,8,0,41,37,0,14,19,3,28,36,0,30,28,0,23,23,0,24,28,0,40,40,0,20,20,0,22,17,0,41,40
51190,8,77,80,22,276,295,20,455,472,31,983,1012,30,643,674,43,1038,1080,39,909,948,29,981,1011,31,877,909,55,1265,1320,27,1105,1131,13,652,673,22,1246,1268
51260,7,88,95,3,252,260,15,373,384,16,866,887,15,623,641,16,1058,1072,15,887,898,30,1022,1047,18,947,970,35,1443,1475,25,1233,1255,11,768,774,22,1361,1377
51310,0,56,56,0,128,128,0,141,141,3,310,314,3,294,294,0,337,337,3,390,395,0,470,470,0,423,423,0,758,763,4,772,774,7,517,526,15,3510,3519
51330,11,267,277,20,611,628,16,726,741,21,1654,1670,17,1150,1169,27,1753,1780,32,1783,1816,31,2340,2371,15,2134,2150,43,3592,3633,35,3383,3413,26,2170,2193,46,4955,4999
51400,3,33,29,3,86,88,5,117,128,5,240,245,8,206,218,5,312,317,11,274,287,13,358,365,11,359,369,23,636,654,18,685,704,14,447,459,22,865,887
51470,0,0,0,0,3,5,0,4,4,0,19,22,0,14,11,0,18,24,0,12,12,0,20,20,0,21,21,0,28,29,0,13,13,0,13,13,0,9,9
51540,4,25,25,15,25,41,16,53,66,25,96,123,23,67,89,24,106,133,20,91,116,26,107,128,18,97,113,33,187,218,27,148,178,6,79,86,17,176,191
51610,0,3,3,0,9,9,0,6,8,3,22,26,0,8,5,5,32,33,0,18,25,0,33,33,0,29,29,0,48,47,3,51,50,0,31,31,3,65,70
51680,0,25,25,0,24,24,0,39,40,0,89,89,0,45,50,0,119,119,0,109,109,0,121,121,0,96,96,3,180,184,4,207,215,3,108,114,12,266,274
51750,0,29,29,0,42,42,0,83,83,0,151,151,0,155,153,0,146,146,0,173,173,0,209,209,0,226,226,3,359,362,3,336,340,0,177,177,10,1214,1223
51820,12,210,220,23,615,642,23,789,815,28,1799,1832,33,1185,1218,45,1960,2007,49,1865,1914,52,2469,2517,62,2247,2305,69,4196,4258,56,4371,4426,41,3044,3085,99,6428,6526
51890,0,21,26,4,78,84,6,119,130,14,310,324,16,181,194,13,272,282,8,205,215,4,190,197,7,179,183,11,264,271,7,344,350,7,172,174,10,376,385
51960,0,6,7,4,31,40,5,24,30,8,70,74,15,21,39,10,42,54,6,50,58,12,62,73,7,54,56,12,128,139,16,181,201,7,67,69,10,184,199
52030,0,5,5,0,19,19,0,19,19,0,35,35,3,23,29,0,37,40,0,31,31,0,36,41,4,19,17,0,35,37,0,36,34,0,15,15,0,38,37
52100,0,4,4,0,11,10,0,9,9,0,37,38,3,8,13,0,33,32,0,29,29,3,33,34,0,33,33,0,47,52,0,36,37,3,33,30,0,43,43
52170,0,20,20,0,45,45,3,48,52,0,83,87,0,65,68,0,90,90,0,102,102,4,127,131,0,123,123,0,208,208,3,238,237,3,113,113,7,1132,1140
52240,0,5,5,4,10,10,0,8,13,0,34,38,0,18,17,0,38,42,3,34,38,0,35,35,3,33,31,0,40,40,0,28,30,0,8,8,0,28,32
52310,0,6,7,0,3,3,0,12,15,0,17,17,0,15,19,0,29,32,0,26,26,0,29,28,0,20,18,0,33,35,0,29,29,0,11,11,0,24,24
52380,0,0,0,0,4,6,0,0,0,0,12,12,3,0,4,0,3,7,0,3,4,0,3,6,0,3,7,0,7,5,0,7,7,0,0,0,0,3,9
52450,0,0,0,0,15,12,0,10,8,0,36,36,0,16,17,0,35,37,0,41,36,0,40,44,0,30,30,0,65,65,0,44,41,0,25,25,0,57,58
52520,0,3,3,0,7,9,0,12,12,3,33,32,0,20,20,6,26,30,3,35,33,3,41,43,3,51,48,6,61,64,0,60,60,0,36,38,3,48,54
52590,0,25,25,4,27,30,0,31,31,0,107,109,5,49,54,3,104,107,0,67,67,3,111,119,3,70,73,3,116,121,3,118,120,3,55,64,6,118,125
52660,0,30,30,3,61,67,4,92,98,3,288,297,4,191,195,5,354,358,3,270,275,10,345,358,3,305,314,23,647,665,20,551,566,9,350,358,16,573,585
52730,0,23,24,0,52,52,0,85,85,4,216,216,4,128,132,3,222,223,4,184,190,4,207,209,0,170,170,3,199,209,8,148,151,0,89,96,0,145,151
52800,11,3,19,76,16,92,69,17,80,94,25,124,73,21,92,112,23,140,104,34,140,94,56,156,83,63,148,99,127,223,73,138,205,29,73,100,44,142,190
52870,0,26,23,0,51,55,0,60,63,5,173,179,4,97,95,10,201,211,5,150,156,0,169,169,4,146,152,3,222,227,0,173,172,3,107,109,4,193,199
52940,0,0,0,0,7,7,0,8,8,0,19,19,0,22,22,0,34,33,0,15,15,0,23,24,0,26,26,0,31,31,3,22,22,0,4,4,0,29,24
53010,0,3,3,0,7,7,0,12,16,4,21,20,0,10,10,0,17,17,3,32,29,0,33,30,0,22,28,0,23,23,0,25,25,0,7,7,0,16,16
53080,0,4,4,3,15,16,3,18,19,0,40,39,3,7,15,7,24,28,3,15,18,0,16,15,0,13,15,3,31,29,3,21,29,0,7,9,0,12,12
